Year,Index value,Minimum,Maximum
1970,100.00,87.96,113.65
1971,87.52,77.33,99.05
1972,81.26,72.08,91.74
1973,79.26,70.49,88.89
1974,79.36,71.10,88.58
1975,80.81,72.70,89.74
1976,84.69,76.63,93.69
1977,80.56,73.08,88.94
1978,75.59,68.75,83.01
1979,69.84,63.81,76.34
1980,64.52,59.04,70.39
1981,62.52,57.38,68.15
1982,66.84,61.62,72.54
1983,70.53,65.08,76.48
1984,70.69,65.44,76.44
1985,65.55,60.92,70.56
1986,61.69,57.43,66.29
1987,60.44,56.43,64.74
1988,60.64,56.82,64.70
1989,62.41,58.59,66.51
1990,61.93,58.36,65.76
1991,59.59,56.39,62.98
1992,57.66,54.66,60.83
1993,55.41,52.73,58.20
1994,55.39,52.95,58.00
1995,55.81,53.34,58.41
1996,53.69,51.49,55.99
1997,48.85,46.94,50.83
1998,44.01,42.32,45.75
1999,41.99,40.49,43.55
2000,42.03,40.55,43.55
2001,42.86,41.36,44.41
2002,43.42,41.98,44.90
2003,44.79,43.26,46.33
2004,44.81,43.30,46.37
2005,42.95,41.57,44.30
2006,41.13,39.78,42.52
2007,39.45,38.13,40.81
2008,39.78,38.53,41.09
2009,42.19,40.78,43.66
2010,43.57,42.10,45.13
2011,42.82,41.41,44.26
2012,39.99,38.60,41.41
2013,38.63,37.29,40.03
2014,37.65,36.35,38.95
2015,36.62,35.31,37.98
2016,35.07,33.76,36.44
2017,36.28,34.84,37.79
2018,37.56,35.71,39.49
2019,39.23,36.07,42.66
