Year,Mammals,Mammals_Minimum,Mammals_Maximum,Butterflies,Butterflies_Minimum,Butterflies_Maximum,Birds,Birds_Minimum,Birds_Maximum,Moths,Moths_Minimum,Moths_Maximum
1970,,,,,,,100.00,85.10,117.43,100.00,88.12,113.38
1971,,,,,,,102.84,88.75,119.29,82.44,72.23,94.05
1972,,,,,,,105.37,91.97,121.07,73.08,63.67,83.71
1973,,,,,,,107.45,94.46,122.20,69.28,60.54,79.01
1974,,,,,,,111.76,98.78,126.71,66.93,58.82,76.03
1975,,,,,,,114.68,102.01,129.32,67.14,59.16,76.17
1976,,,,100.00,57.29,173.63,117.12,104.66,131.27,71.03,62.61,80.53
1977,,,,45.61,28.13,73.51,117.79,105.82,131.48,67.98,59.86,77.10
1978,,,,35.19,22.73,54.50,116.79,105.46,129.70,62.96,55.67,71.10
1979,,,,30.36,20.28,46.18,114.59,103.80,126.73,57.97,51.41,65.25
1980,,,,24.91,16.95,36.92,112.04,102.03,123.29,54.76,48.51,61.76
1981,,,,20.08,13.92,28.83,109.02,99.63,119.24,55.30,49.18,62.12
1982,,,,26.89,19.05,38.26,108.59,99.47,118.32,59.89,53.35,67.19
1983,,,,29.75,21.50,41.44,110.93,102.13,120.36,61.28,54.70,68.70
1984,,,,36.44,26.58,50.22,110.76,102.47,119.85,58.27,52.22,65.04
1985,,,,35.10,25.97,47.22,109.44,101.55,117.84,51.19,46.04,56.89
1986,,,,36.02,27.11,48.08,110.43,102.93,118.42,45.33,40.78,50.42
1987,,,,38.90,29.61,51.09,114.00,106.58,121.94,40.79,36.82,45.18
1988,,,,37.05,28.58,47.89,117.60,110.33,125.42,37.66,34.01,41.71
1989,,,,40.67,31.98,51.85,120.09,113.01,127.65,37.12,33.64,40.88
1990,,,,42.36,33.62,53.52,118.87,112.24,125.89,37.14,33.85,40.77
1991,,,,39.66,31.61,49.61,116.87,110.87,123.31,36.80,33.47,40.39
1992,,,,40.92,33.18,50.77,115.74,110.24,121.37,35.51,32.51,38.80
1993,,,,36.82,30.00,45.20,114.16,109.07,119.43,32.83,30.15,35.68
1994,,,,37.93,31.05,46.46,112.33,107.71,117.16,31.69,29.12,34.45
1995,100.00,81.48,122.56,38.07,31.33,46.22,110.52,106.02,115.32,31.87,29.53,34.36
1996,102.35,88.99,117.67,35.64,29.63,43.04,109.30,104.92,114.00,30.45,28.23,32.86
1997,102.49,93.77,112.16,31.99,26.83,38.33,107.98,103.68,112.50,26.35,24.40,28.45
1998,99.57,95.77,103.50,26.55,22.36,31.50,105.93,101.72,110.30,21.89,20.44,23.42
1999,95.95,92.01,100.08,26.41,22.46,31.03,103.06,99.07,107.17,19.77,18.47,21.15
2000,95.98,92.19,99.85,27.83,23.92,32.46,101.78,97.87,105.87,19.70,18.44,21.03
2001,92.50,89.16,95.95,27.60,23.95,31.79,100.28,96.46,104.23,21.06,19.84,22.37
2002,91.65,88.12,95.31,26.67,23.31,30.43,99.97,96.23,103.76,22.02,20.66,23.45
2003,89.94,86.40,93.73,28.45,25.11,32.21,100.61,97.00,104.33,22.76,21.36,24.27
2004,92.43,88.85,96.13,30.58,27.17,34.47,102.15,98.51,105.95,21.99,20.71,23.36
2005,90.60,87.24,94.14,30.65,27.34,34.34,101.20,97.70,104.91,20.45,19.21,21.76
2006,91.60,88.49,94.80,29.99,26.89,33.41,100.19,96.53,103.97,19.08,17.99,20.24
2007,92.06,89.40,94.84,24.31,21.94,26.88,101.14,97.48,104.99,17.65,16.66,18.70
2008,90.79,88.78,92.97,21.25,19.18,23.61,101.54,97.78,105.47,17.75,16.70,18.85
2009,90.69,87.93,93.48,25.11,23.08,27.38,103.66,99.68,107.77,19.19,18.14,20.28
2010,87.02,83.83,90.54,29.67,26.90,32.57,103.96,99.84,108.22,20.51,19.38,21.73
2011,88.49,84.75,92.39,28.83,26.18,31.61,103.13,98.90,107.49,20.41,19.24,21.70
2012,85.48,81.47,89.66,22.21,20.26,24.47,101.80,97.63,106.20,18.49,17.49,19.55
2013,81.15,76.69,85.90,22.30,20.39,24.47,99.13,94.89,103.47,17.15,16.23,18.10
2014,86.78,81.89,91.92,25.25,23.04,27.60,100.46,95.91,105.09,15.48,14.61,16.42
2015,91.96,86.49,97.88,24.72,22.57,27.00,101.42,96.77,106.34,14.26,13.44,15.13
2016,90.26,84.49,96.40,22.84,20.88,25.07,99.50,94.70,104.52,13.36,12.59,14.16
2017,86.31,80.40,92.55,24.67,22.56,27.01,100.62,95.53,105.85,14.04,12.90,15.28
2018,86.64,80.05,93.60,29.93,27.33,32.72,100.57,94.97,106.35,14.05,,
2019,86.99,79.82,94.60,33.68,30.32,37.44,99.65,92.23,107.81,,,
