Year,All,Generalist,Specialist
1970,100,100,100
1971,98.68087521,98.9371475,98.5529881
1972,98.07596686,98.97389935,97.63006015
1973,98.29267221,99.99192576,97.45390516
1974,99.6551123,101.9784366,98.51337538
1975,101.7201858,104.5922166,100.3138812
1976,103.1677931,106.3045391,101.6164502
1977,102.8845916,106.60416,101.0091689
1978,100.4748257,105.4471151,97.91023794
1979,96.73413934,103.5512275,93.18265796
1980,92.44154653,101.8901882,87.54275501
1981,87.69743978,100.9113048,80.99136859
1982,82.78969978,100.1628602,74.25480933
1983,78.45821228,99.40528005,68.50090626
1984,74.58394571,98.5657083,63.53642185
1985,70.77136179,97.71891608,58.76624426
1986,67.3685241,97.25043232,54.50812653
1987,65.04272872,97.67394077,51.42821642
1988,64.00097291,99.30874586,49.6470815
1989,63.66270215,101.4233725,48.63084868
1990,63.08790559,102.9048873,47.53367125
1991,61.73638888,102.7851605,45.96266594
1992,59.92366398,100.8522714,44.3324541
1993,58.31459264,98.57303807,43.03245027
1994,57.37293859,97.42815617,42.22418764
1995,56.86339653,97.27851449,41.66931919
1996,56.24388009,97.49532799,40.89965542
1997,55.37715149,97.69394613,39.85887389
1998,54.52591985,97.72696861,38.8854701
1999,54.09297628,97.79224487,38.38278639
2000,54.10383406,98.21355142,38.29882293
2001,54.23673137,99.03667901,38.26115125
2002,54.31579186,100.3478567,38.05639467
2003,54.25785526,101.8034075,37.67432567
2004,53.9387879,102.4838133,37.17939455
2005,53.30412544,102.4124291,36.50395591
2006,52.35266376,101.3976532,35.68435212
2007,51.2398935,99.55703634,34.86144525
2008,50.25371286,97.37093171,34.24576108
2009,49.33831377,95.07263305,33.7300597
2010,48.42831656,93.22817311,33.1267762
2011,47.48348738,91.94868721,32.36919657
2012,46.46805996,90.79322529,31.51165402
2013,45.4893446,89.2569501,30.77207765
2014,44.87410155,87.99231542,30.3674422
2015,44.48324573,86.8847574,30.17183083
2016,44.03096143,85.44828214,29.97766757
2017,43.61511508,84.01479318,29.82351144
2018,43.134833,82.75960959,29.5636549
2019,42.59680428,81.56158052,29.22949722
