1990 habitat,2019 habitat,hectares
Woodland,Woodland," 2,229,438.6 "
Woodland,Enclosed farmland," 75,790.4 "
Woodland,Semi-natural grassland," 21,883.7 "
Woodland,"Freshwater, wetlands, floodplains"," 10,670.9 "
Woodland,"Mountains, moorland, and heath"," 20,561.8 "
Woodland,Marine and coastal margins," 4,738.75 "
Woodland,Urban," 60,174.3 "
Enclosed farmland,Woodland," 396,666.5 "
Enclosed farmland,Enclosed farmland," 11,329,547.7 "
Enclosed farmland,Semi-natural grassland," 219,230.5 "
Enclosed farmland,"Freshwater, wetlands, floodplains"," 41,926.3 "
Enclosed farmland,"Mountains, moorland, and heath"," 53,430.1 "
Enclosed farmland,Marine and coastal margins," 52,467.63 "
Enclosed farmland,Urban," 396,697.0 "
Semi-natural grassland,Woodland," 154,657.1 "
Semi-natural grassland,Enclosed farmland," 297,303.1 "
Semi-natural grassland,Semi-natural grassland," 1,708,663.4 "
Semi-natural grassland,"Freshwater, wetlands, floodplains"," 65,819.0 "
Semi-natural grassland,"Mountains, moorland, and heath"," 209,968.8 "
Semi-natural grassland,Marine and coastal margins," 10,531.88 "
Semi-natural grassland,Urban," 9,486.9 "
"Freshwater, wetlands, floodplains",Woodland," 6,333.9 "
"Freshwater, wetlands, floodplains",Enclosed farmland," 13,997.7 "
"Freshwater, wetlands, floodplains",Semi-natural grassland," 2,429.1 "
"Freshwater, wetlands, floodplains","Mountains, moorland, and heath", 832.3 
"Freshwater, wetlands, floodplains","Freshwater, wetlands, floodplains"," 12,524.6 "
"Freshwater, wetlands, floodplains",Marine and coastal margins," 4,494.13 "
"Freshwater, wetlands, floodplains",Urban," 1,321.8 "
"Mountains, moorland, and heath",Woodland," 276,114.9 "
"Mountains, moorland, and heath",Enclosed farmland," 80,870.4 "
"Mountains, moorland, and heath",Semi-natural grassland," 348,550.8 "
"Mountains, moorland, and heath","Freshwater, wetlands, floodplains"," 323,947.2 "
"Mountains, moorland, and heath","Mountains, moorland, and heath"," 2,008,728.1 "
"Mountains, moorland, and heath",Marine and coastal margins," 19,221.25 "
"Mountains, moorland, and heath",Urban," 2,774.3 "
"Freshwater, wetlands, floodplains",Woodland," 22,601.3 "
"Freshwater, wetlands, floodplains",Enclosed farmland," 9,193.4 "
"Freshwater, wetlands, floodplains",Semi-natural grassland," 30,486.9 "
"Freshwater, wetlands, floodplains","Freshwater, wetlands, floodplains"," 503,277.4 "
"Freshwater, wetlands, floodplains","Mountains, moorland, and heath"," 102,214.5 "
"Freshwater, wetlands, floodplains",Marine and coastal margins," 1,121.3 "
"Freshwater, wetlands, floodplains",Urban, 295.6 
"Mountains, moorland, and heath",Woodland," 9,715.6 "
"Mountains, moorland, and heath",Enclosed farmland," 19,200.3 "
"Mountains, moorland, and heath",Semi-natural grassland," 5,665.1 "
"Mountains, moorland, and heath","Freshwater, wetlands, floodplains"," 1,490.7 "
"Mountains, moorland, and heath","Mountains, moorland, and heath"," 87,546.1 "
"Mountains, moorland, and heath",Marine and coastal margins, 405.63 
"Mountains, moorland, and heath",Urban," 9,791.9 "
Marine and coastal margins,Woodland," 2,635.4 "
Marine and coastal margins,Enclosed farmland," 11,892.75 "
Marine and coastal margins,"Freshwater, wetlands, floodplains"," 5,980.63 "
Marine and coastal margins,Semi-natural grassland, 291.9 
Marine and coastal margins,"Mountains, moorland, and heath"," 1,907.94 "
Marine and coastal margins,Marine and coastal margins," 623,847.56 "
Marine and coastal margins,Urban," 9,517.56 "
"Freshwater, wetlands, floodplains",Woodland," 5,726.6 "
"Freshwater, wetlands, floodplains",Enclosed farmland," 1,981.0 "
"Freshwater, wetlands, floodplains",Semi-natural grassland, 421.9 
"Freshwater, wetlands, floodplains","Freshwater, wetlands, floodplains"," 219,411.0 "
"Freshwater, wetlands, floodplains","Mountains, moorland, and heath"," 1,839.9 "
"Freshwater, wetlands, floodplains",Marine and coastal margins," 2,027.19 "
"Freshwater, wetlands, floodplains",Urban," 2,288.5 "
Urban,Woodland," 25,205.5 "
Urban,Enclosed farmland," 39,442.5 "
Urban,Semi-natural grassland," 2,609.8 "
Urban,"Freshwater, wetlands, floodplains"," 3,276.9 "
Urban,"Mountains, moorland, and heath"," 1,182.1 "
Urban,Marine and coastal margins," 5,334.88 "
Urban,Urban," 1,297,305.4 "
