"year","nh3","nox","voc","pm10","pm25","so2","index"
1970,NA,100,100,100,100,100,100
1971,NA,99.608662106945,100.223365118664,91.9816501116945,88.6490372695029,94.7384804351638,100
1972,NA,99.2475709481615,97.9891569641676,81.3654670415561,77.8372196446407,90.9087627218849,100
1973,NA,105.134824371245,103.509105922643,84.8297736051565,79.1882830779062,93.4188455573482,100
1974,NA,98.611765536583,99.5946886276522,77.1181140796762,73.4659033720844,85.6062488266103,100
1975,NA,95.7802444240374,97.7802836125146,73.0966691078499,64.9370900998705,81.3190802374999,100
1976,NA,97.4163990725647,100.10018034127,71.4160779539068,63.7088964678872,78.628310571489,100
1977,NA,97.9877886211211,103.215494771512,70.5803765257672,63.2423315583742,78.5216827465103,100
1978,NA,99.4900965361703,104.902547503045,69.1269362164679,60.8171759677826,79.2390928969251,100
1979,NA,103.065623127886,107.677134147064,69.5827288968949,62.1986472183776,84.1933253229573,100
1980,100,98.256640896288,104.694626569135,64.048832252046,55.1759141276778,74.5216835149115,100
1981,99.644725986818,94.4809445961794,102.941437172597,61.4393630605216,52.520823050252,67.6744091118238,100
1982,102.154051874032,94.3908185119632,103.688222100603,60.1065766491586,51.6687619264036,64.7625298767896,100
1983,102.457613698497,93.2841409741233,103.644035776957,59.2695716945353,49.9148638888578,59.7775522019803,100
1984,103.452673692218,92.1340927759553,97.0614940215159,52.9830047543164,45.038664309724,57.5161469225545,100
1985,102.53123764825,95.3562814454807,104.162767709427,58.4926661012107,49.6039603077849,57.8455708398254,100
1986,102.071566844481,98.3000481040612,108.110717219426,60.1575385625479,51.6237373131124,60.0639060461277,100
1987,103.204957137264,100.819051949474,109.920069908805,58.8128124038233,47.4669794659129,59.8201841290124,100
1988,101.189367351963,102.858555259222,112.459066984601,57.6782100612426,46.512542331597,58.8953923202778,100
1989,99.8374758823903,104.684630012396,114.283262869932,57.9648662620268,45.9210115489538,57.1302355506907,100
1990,98.757052381756,97.4202764346948,114.087770781129,56.3567340805833,45.4718553150569,54.7976728217828,100
1991,99.9346370876954,95.2035237347661,112.415436534872,56.0770669028409,45.4233676047708,53.755050465754,100
1992,95.4998200876969,93.0833057948159,108.541148567107,53.0051208627176,43.7761860313602,52.3067326847516,100
1993,94.241636454435,88.2640695232359,103.405974772904,48.6212200591401,40.3040394096952,47.4948169379076,100
1994,95.8798491117881,87.2140480891259,98.492842777478,45.8951025328818,38.4223448184351,43.0796528906605,100
1995,94.1858891369618,84.0080884859394,94.210778055883,42.1963968074389,34.7347649804674,38.7751391520518,100
1996,96.1334751086661,80.747791701062,91.8498700940338,41.490971836806,33.4649901944153,32.9910107530959,100
1997,99.3903673152683,75.1306672361089,88.2691215039827,38.9455503625984,31.6787875749337,26.8490514036331,100
1998,99.1718303649916,73.4713341509827,84.5285505818706,36.7509235359272,29.9656668160035,26.8359787631196,100
1999,96.9380502915289,69.9544256486648,76.0930640167181,35.735830968828,29.1724485367824,20.8400493548217,100
2000,94.7677877013837,67.5076076549175,70.6735617249123,33.5296547007878,26.1648824961724,19.8445998344817,100
2001,93.9020006646424,66.0617373838457,66.5766989462563,34.0240257635675,25.5765558090345,18.7327118100341,100
2002,92.452274735602,62.9303319381255,62.111180029045,29.7266373222827,22.4742236393071,16.8816421334553,100
2003,90.960014496365,62.1182294741042,59.0891568453487,31.5054954060239,22.2191719548322,16.4336029337902,100
2004,92.5742759182595,60.3651823597404,54.8234021903067,29.0850277747819,21.6024223125573,13.835547689239,100
2005,90.3276688202282,59.5818585847203,51.2924625043303,28.2138090705983,21.1426338381392,12.0194129474666,100
2006,89.1850763096307,57.7786020900837,48.9546771134704,27.5211635838346,20.878583759096,11.3731183965963,100
2007,88.1440058708439,55.312899942949,47.1840017137066,25.5313172339114,19.2696156049889,9.9672112733236,100
2008,82.8006780179906,49.7826390797016,43.4559638871018,23.1939193966291,17.741257630796,8.42911079912648,100
2009,83.8660498871284,43.5524218093343,39.1236182195972,21.5483913971079,16.3933826770217,6.99098994412266,100
2010,84.3790485234446,42.5033405439262,37.7765636918101,23.2032964012243,16.9739428251174,7.11335618571326,100
2011,84.2478389888214,39.6130711497173,36.7164418459147,21.5533648171431,15.8985167662456,6.59549437634822,100
2012,83.9642284874158,40.4998531980592,36.030184452348,20.7796115007331,15.9449252536438,7.34093580236242,100
2013,82.4823078600534,38.454756657726,34.7902204763624,22.0043462004709,16.2926408198371,6.37098088279499,100
2014,86.135938859151,35.9132486280681,34.1174271818049,21.3471164837364,15.8294377563592,5.22072531837734,100
2015,86.84506536714,34.5095056765802,34.083755928228,20.9936935894914,15.5198751263496,4.1071283040895,100
2016,87.467902981581,31.3575619541212,33.4152245699274,21.2243664036868,15.1139214563106,3.01792007262382,100
2017,88.4464547460404,30.1604400889217,33.8647818124849,22.1496464062216,15.3511942963884,2.90665266022845,100
2018,87.1720560403074,28.7168879606494,34.8224860475789,21.8666211949616,15.8195747564361,2.69012674728992,100
2019,86.8995213536815,26.8643794909766,34.0786277788188,21.3073578441149,15.1862040419193,2.37944516411993,100
2020,83.9546126639577,23.1460865658296,33.04465717746,19.3295813768682,14.3719613768941,2.02974747730737,100
2021,85.5489616137914,23.1877042193609,32.3585715865335,20.8798751003479,15.2473314957435,1.92209902478733,100
