Year,Percentage unknown,Percentage above FMSY,Percentage in FMSY range,Percentage less than or equal to FMSY
1990,49.1,42.1,0,8.8
1991,45.6,43.9,1.8,8.8
1992,43.9,42.1,3.5,10.5
1993,36.8,52.6,3.5,7
1994,35.1,52.6,1.8,10.5
1995,36.8,56.1,3.5,3.5
1996,33.3,59.6,1.8,5.3
1997,36.8,54.4,3.5,5.3
1998,33.3,59.6,3.5,3.5
1999,31.6,63.2,1.8,3.5
2000,31.6,59.6,3.5,5.3
2001,28.1,61.4,3.5,7
2002,28.1,54.4,5.3,12.3
2003,24.6,50.9,5.3,19.3
2004,26.3,52.6,5.3,15.8
2005,24.6,56.1,7,12.3
2006,24.6,56.1,8.8,10.5
2007,24.6,56.1,3.5,15.8
2008,24.6,54.4,3.5,17.5
2009,22.8,54.4,3.5,19.3
2010,24.6,47.4,3.5,24.6
2011,24.6,42.1,8.8,24.6
2012,22.8,42.1,5.3,29.8
2013,21.1,31.6,8.8,38.6
2014,21.1,40.4,5.3,33.3
2015,21.1,35.1,7,36.8
2016,21.1,29.8,8.8,40.4
2017,21.1,35.1,8.8,35.1
2018,21.1,22.8,8.8,47.4
2019,22.8,26.3,7,43.9
